,Customer Review Summary,polarity_s,subjectivity_s
21,the worst value ive ever seen,-1,1
207,boring unless you are a craft person which i am ,-1,1
819,boring,-1,1
1148,before this i hated running any rpg campaign dealing with towns because it ,-0.9,0.7
1,another worthless dungeon masters screen from galeforce9,-0.8,0.9
143,disappointed,-0.75,0.75
623,disappointed,-0.75,0.75
785,disappointed,-0.75,0.75
1591,disappointed,-0.75,0.75
361,promotes anger instead of teaching calming methods,-0.7,0.2
875,too bad this is not what i was expecting,-0.7,0.666666667
880,bad qualityall made of paper,-0.7,0.666666667
177,at age 31 i found these very difficult to make ,-0.65,1
100,small and boring,-0.625,0.7
511,mad dragon,-0.625,1
797,disappointing,-0.6,0.7
1001,disappointing,-0.6,0.7
1099,disappointing,-0.6,0.7
1773,disappointing,-0.6,0.7
991,then you will find this board game to be dumb and boring,-0.591666667,0.633333333
